location1,location2,fullLocation,fieldName,membershipType,holeNumber,courseName,courseSize,greenFee,cartFee,caddieFee,fieldUrl,contact,type
경기 북부,경기 가평,경기도 가평군 상면 상동리 산52,가평베네스트,회원제,27,파인/버치/메이플,"12,484M/13,653YD","50,000원 ~ 250,000원",90000,120000,http://www.golfsamsung.com,031-589-8000,FIELD
경기 북부,경기 고양,경기도 고양시 덕양구 도내동 457-1,고양,퍼블릭,9,고양,"2,922M/3,196YD","120,000원 ~ 160,000원",80000,120000,http://www.goyangcc.com,031-960-7719,FIELD
경기 북부,경기 남양주,경기도 남양주군 진접읍 팔야로 280,광릉포레스트,회원제,18,글렌/파인,"6,463M/7,068YD","75,000원 ~ 230,000원",80000,120000,http://www.kwangneungcc.co.kr,031-528-7001,FIELD
경기 북부,경기 남양주,경기도 남양주군 진접읍 팔야로 280,광릉포레스트,퍼블릭,9,OUT,"1,282M/1,403YD","60,000원 ~ 80,000원",20000,-,http://www.kwangneungcc.co.kr,031-528-7400,FIELD
경기 북부,경기 남양주,경기도 남양주시 오남읍 산 171-3,남양주,퍼블릭,9,OUT,"6,461M/7,066YD","110,000원 ~ 154,000원",80000,120000,http://www.namyangjucc.co.kr,031-529-6060,FIELD
경기 북부,경기 남양주,경기도 남양주시 화도읍 차산리 산 111-1,남양주해비치,회원제,18,OUT/IN,"6,649M/7,271YD","50,000원 ~ 250,000원",80000,120000,http://www.haevichi.com,031-579-3000,FIELD
경기 북부,경기 고양,경기도 고양시 덕양구 신원동 227-12,뉴코리아,회원제,18,OUT/IN,"6,452M/7,056YD","55,000원 ~ 210,000원",80000,120000,http://www.newkoreacc.co.kr,02-353-0091,FIELD
경기 북부,경기 양평,경기도 양평군 양동면 고송1리 194,더스타휴,회원제,18,스타/휴,"6,594M/7,211YD","23,000원 ~ 220,000원",90000,120000,http://www.thestarhue.com,031-770-9900,FIELD
경기 북부,경기 파주,경기도 파주시 광탄면 분수리 1-1,데니스(구 베스트밸리),퍼블릭,9,OUT,"3,235M/3,538YD","120,000원 ~ 160,000원",80000,120000,http://www.bestvalleygc.com,031-950-7777,FIELD
경기 북부,경기 포천,경기도 포천시 일동면 화동로 738,락가든,퍼블릭,9,락가든,"3,235M/3,538YD","100,000원 ~ 160,000원",-,-,http://www.rockgarden.kr,031-539-5932,FIELD
경기 북부,경기 양주,경기도 양주시 만송동 555,레이크우드(구 로얄),회원제,72,뉴/북/중/남/물길/꽃길/산길/숲길,"9,479M/10,366YD","65,000원 ~ 220,000원",80000,120000,http://www.lakewood.co.kr,031-820-1500,FIELD
경기 북부,경기 가평,경기도 가평군 하면 하판리 산90,리앤리,퍼블릭,18,레이크/하이랜드,"6,508M/7,117YD","140,000원 ~ 180,000원",80000,120000,http://www.leenleecc.co.kr/,031-580-9000,FIELD
경기 북부,경기 가평,경기도 가평군 설악면 이천리 240,마이다스밸리,회원제,18,마이다스/밸리,"6,460M/7,065YD","23,000원 ~ 240,000원",80000,120000,http://www.midasgolf.co.kr/,031-589-9000,FIELD
경기 북부,경기 포천,경기도 포천시 영북면 산정리 558-1,몽베르,회원제,36,에떼/브렝땅/오똔/이베르,"12,892M/14,099YD","55,000원 ~ 180,000원",80000,120000,http://www.motvertcc.com/,031-531-1100,FIELD
경기 북부,경기 포천,경기도 포천시 내촌면 소학리 295,베어스타운,퍼블릭,9,OUT,"2,643M/2,890YD","18,000원 ~ 50,000원",40000,-,http://www.bearstown.com/,031-540-5116,FIELD
경기 북부,경기 포천,경기도 포천시 화현면 지현리 산2-1,베어크리크,퍼블릭,36,베어IN/베어OUT/크리크IN/크리크OUT,"13,240M/14,479YD","140,000원 ~ 190,000원",80000,120000,http://www.bearcreek.co.kr/,031-539-5700,FIELD
경기 북부,경기 남양주,경기도 남양주시 화도읍 마치로 226-220,비전힐스,회원제,18,이스트/웨스트,"6,358M/6,953YD","22,620원 ~ 180,000원",80000,120000,http://www.visionhillscc.co.kr/,031-595-3355,FIELD
경기 북부,경기 파주,경기도 파주시 광탄면 용미리 산79-1,서서울,회원제,18,레이크/힐,"6,300M/6,890YD","70,000원 ~ 220,000원",80000,120000,http://www.seoseoul.co.kr/,031-943-4103,FIELD
경기 북부,경기 고양,경기도 고양시 덕양구 원당동 198-114,서울,회원제,36,NEW A/NEW B/OLD A/OLD B,"12,237M /13,383YD","39,000원 ~ 210,000원",80000,120000,http://www.seoulcc.co.kr/,031-969-0810,FIELD
경기 북부,경기 파주,경기도 파주시 광탄면 발랑리 48-1,서원밸리,회원제,18,서원/밸리,"6,140M/6,715YD","22,620원 ~ 210,000원",80000,120000,http://www.seowongolf.co.kr/,031-940-9400,FIELD
경기 북부,경기 파주,경기도 파주시 광탄면 발랑리 48-1,서원힐스,퍼블릭,27,이스트/웨스트/사우스,"6,736M/7,367YD","160,000원 ~ 220,000원",80000,120000,http://www.seowongolf.co.kr/,031-940-9400,FIELD
경기 북부,경기 양주,경기도 양주시 광적면 비암리 산23-1,송추,회원제,18,이스트/웨스트,"6,428M/7,030YD","41,000원 ~ 240,000원",80000,120000,http://www.songchoo.co.kr/,031-871-9410,FIELD
경기 북부,경기 파주,경기도 파주시 법원읍 보광로 1616,스마트KU골프파빌리온,퍼블릭,27,혼솔/미쁨/바른,"8,944M/9,781YD","140,000원 ~ 180,000원",80000,120000,http://kugolf.co.kr/,031-930-1600,FIELD
경기 북부,경기 가평,경기도 가평군 하면 하판리 산162-1,썬힐,회원제,27,힐/파인/썬/밸리,"13,076M/14,300YD","23,000원 ~ 195,000원",76000,120000,http://www.sunhillgolf.co.kr/,031-585-7900,FIELD
경기 북부,경기 가평,경기도 가평군 설악면 유영로 961-34,아난티클럽서울(구 리츠칼튼),회원제,27,느티나무/자작나무/잣나무,"7,062M/7,723YD","22,620원 ~ 245,000원",80000,120000,http://www.ananticlub.com/,031-589-3000,FIELD
경기 북부,경기 남양주,경기도 남양주시 화도읍 금남리 300,양주,회원제,18,동/서,"6,298M/6,888 YD","75,000원 ~ 240,000원",80000,120000,-,031-592-6060,FIELD
경기 북부,경기 양평,경기도 양평군 지평면 대평리 산112,양평TPC,회원제,27,루나/솔라/스텔라,"9,506M/10,396YD","23,000원 ~ 218,000원",80000,120000,http://www.tpcgolf.co.kr/,031-772-3000,FIELD
경기 북부,경기 고양,경기도 고양시 덕양구 벽제동 456,올림픽,퍼블릭,9,OUT,"3,335M/3,647YD","120,000원 ~ 140,000원",80000,120000,http://olympicsports.co.kr/,031-962-0101,FIELD
경기 북부,경기 포천,경기도 포천시 일동면 유동리 21-2,일동레이크,회원제,18,마운틴/힐,"7,209M/7,884YD","45,000원 ~ 230,000원",80000,120000,http://www.ildonglakes.co.kr/,031-539-5900,FIELD
경기 북부,경기 고양,경기도 고양시 덕양구 주교동 1500,스프링힐스,퍼블릭,9,OUT,"2,931M/3,205YD","120,000원 ~ 160,000원",80000,120000,http://www.springhills.co.kr/,031-969-2000,FIELD
경기 북부,경기 파주,경기도 파주시 조리읍 장곡리 47-1,제이퍼블릭,퍼블릭,6,OUT,"1,854M/2,028YD","70,000원 ~ 90,000원",40000,60000,http://www.jpublic.co.kr/,031-8071-0808,FIELD
경기 북부,경기 포천,경기도 포천시 설운동 산38,참밸리,퍼블릭,18,퀸스/밸리,"6,403M/7,002YD","130,000원 ~ 180,000원",80000,120000,http://charmvalley.cc/,1899-6200,FIELD
경기 북부,경기 가평,경기도 가평군 상면 항사리 산 36-2,크리스탈밸리,회원제,18,크리스탈/밸리,"6,519M/7,130YD","22,620원 ~ 230,000원",80000,120000,http://www.crystalvalley.co.kr/,031-589-5000,FIELD
경기 북부,경기 파주,경기도 파주시 법원읍 웅담리 105-3,타이거,회원제,18,가온/누리,"6,386M/6,984YD","85,000원 ~ 240,000원",80000,120000,http://www.tigercc.co.kr/,031-958-8900,FIELD
경기 북부,서울 노원,서울시 노원구 화랑로 574,태릉,회원제,18,화랑/을지,"6,249M/6,834YD","33,000원 ~ 182,000원",80000,120000,http://www.welfare.mil.kr,02-970-7320,FIELD
경기 북부,경기 동두천,경기도 동두천시 하봉암동 산33-1,티클라우드,회원제,18,비체/해밀,"6,453M/7,057YD","22,620원 ~ 210,000원",80000,120000,http://www.teecloud.co.kr,031-869-7770,FIELD
경기 북부,경기 파주,경기도 파주시 법원읍 갈곡리 359-1,파주,퍼블릭,18,이스트/웨스트,"6,475M/7,081YD","90,000원 ~ 120,000원",80000,120000,http://www.pajucc.com,031-959-9999,FIELD
경기 북부,경기 파주,경기도 파주시 광탄면 기산리 쇠장 이길 265,파주프리스틴밸리,퍼블릭,18,프리스틴/밸리,"6,592M/7,209YD","140,000원 ~ 200,000원",80000,120000,http://www.ppgc.co.kr,031-950-6900,FIELD
경기 북부,경기 포천,경기도 포천시 화현면 명덕리 산 115,포레스트힐,퍼블릭,24,락/힐/포레스트,"11,172M/12,218YD","60,000원 ~ 170,000원",80000,120000,http://www.foresthill.kr,031-530-8888,FIELD
경기 북부,경기 포천,경기도 포천시 신북면 삼성당리 460-2,포천아도니스,회원제,27,서/중/동,"9,602M/10,501YD","22,620원 ~ 200,000원",80000,120000,http://www.adoniscc.co.kr,031-530-9100,FIELD
경기 북부,경기 포천,경기도 포천시 신북면 삼성당리 460-2,포천아도니스,퍼블릭,9,OUT,,"50,000원 ~ 65,000원",20000,-,http://www.adoniscc.co.kr,031-530-9100,FIELD
경기 북부,경기 포천,경기도 포천시 군내면 상성북리 34-1,포천힐스,퍼블릭,27,캐슬/팰리스/가든,"6,473M/7,079YD","120,000원 ~ 180,000원",80000,120000,http://www.fortunehills.co.kr,031-538-7000,FIELD
경기 북부,경기 포천,경기도 포천시 가산면 우금리 579,푸른솔포천,퍼블릭,27,마운틴/밸리/레이크,"10,158M/11,109YD","140,000원 ~ 200,000원",80000,120000,http://www.purunsolgc.co.kr,031-850-6000,FIELD
경기 북부,경기 가평,경기도 가평군 설악면 이천리 산2-12,프리스틴밸리,회원제,18,프리스틴/밸리,"6,320M/6,912YD","22,620원 ~ 245,000원",80000,120000,http://pristinevalley.co.kr,031-589-2000,FIELD
경기 북부,경기 포천,경기도 포천시 일동면 기산리 산142-1,필로스,회원제,27,동/서/남,"9,167M/10,025YD","22,620원 ~ 200,000원",80000,120000,http://www.philosgc.com,031-531-2003,FIELD
경기 북부,경기 고양,경기도 고양시 덕양구 원당동 198-114,한양,회원제,36,NEW OUT/NEW IN/OLD OUT/OLD IN ,"12,237M/13,383YD","39,000원 ~ 220,000원",80000,120000,http://www.hanyangcc.com,031-969-0810,FIELD
경기 남부,경기 여주,경기도 여주군 강천면 부평리 산 59-3,360도,퍼블릭,18,OUT/IN,"10,022M/10,960YD","140,000원 ~ 200,000원",80000,120000,http://www.360cc.co.kr,031-880-3600,FIELD
경기 남부,경기 용인,경기도 용인시 기흥구 청덕동 80-2,88,회원제,36,동 OUT/동 IN/서 OUT/서 IN ,"12,911M/14,120YD","65,000원 ~ 230,000원",80000,120000,http://www.88countryclub.co.kr,031-287-8811,FIELD
경기 남부,경기 광주,경기도 광주시 목동497-6,강남300,회원제,18,OUT/IN,"6,344M/6,938YD","45,000원 ~ 260,000원",90000,120000,http://www.kn300.com,031-719-0300,FIELD
경기 남부,경기 광주,경기도 광주시 도척면 도웅리 산540,곤지암,회원제,18,마운틴/레이크,"6,702M/7,329YD","22,620원 ~ 240,000원",80000,120000,https://konjiam.lg.co.kr,031-760-3417,FIELD
경기 남부,경기 용인,경기도 용인시 기흥구 고매동 5-48,골드,회원제,36,챔피온 OUT/챔피온 IN/마스터 OUT/마스터 IN ,"12,562M/13,738YD","66,000원 ~ 230,000원",90000,120000,http://www.kgav.com,031-286-8111,FIELD
경기 남부,경기 안성,경기도 안성시 보개면 북가현리 산 65-1,골프존카운티안성H,퍼블릭,18,레이크/힐,"6,482M/7,089YD","110,000원 ~ 220,000원",80000,120000,http://www.golfzoncounty.com,031-8056-0700,FIELD
경기 남부,경기 안성,경기도 안성시 죽산면 장계리 711,골프존카운티안성Q,퍼블릭,18,팜파스/밸리,"6,648M/7,270YD","120,000원 ~ 220,000원",80000,120000,http://www.golfzoncounty.com,031-8046-7000,FIELD
경기 남부,경기 안성,경기도 안성시 양성면 교동길 19-70,골프존카운티안성W,퍼블릭,18,OUT/IN,"5,529M/6,047YD","110,000원 ~ 220,000원",80000,120000,http://www.golfzoncounty.com,031-6700-500,FIELD
경기 남부,경기 광주,경기도 광주시 실촌읍 이선리 208-2,그린힐,회원제,18,OUT/IN,"6,510M/7,119YD","98,000원 ~ 220,000원",80000,120000,http://www.shinancc.co.kr,02-3467-0992,FIELD
경기 남부,경기 용인,경기도 용인시 처인구 포곡읍 전대리 310,글렌로스,퍼블릭,9,OUT/IN,"6,109M/6,580YD","160,000원 ~ 220,000원",80000,120000,http://www.golfsamsung.com,031-320-9600,FIELD
경기 남부,경기 여주,경기도 여주군 가남면 본두리 1-2,금강,회원제,27,동/서/남,"6,420M/7,021YD","23,000원 ~ 220,000원",80000,120000,http://www.kccgolf.co.kr,031-880-6000,FIELD
경기 남부,경기 화성,경기도 화성시 동탄면 신리 산46-1,기흥,회원제,36,동/서/남/북,"12,488M/13,657YD","65,000원 ~ 240,000원",80000,120000,http://www.ghcc.kr,031-376-4001,FIELD
경기 남부,경기 김포,경기도 김포시 월곶면 포내리 220-6,김포시사이드,회원제,18,남/서,"6,484M/7,091YD","70,000원 ~ 225,000원",88000,120000,https://www.gimpocc.co.kr,031-987-9992,FIELD
경기 남부,경기 용인,경기도 용인시 기흥구 보라동 1-35,남부,회원제,18,OUT/IN,"6,503M/7,112YD","70,000원 ~ 240,000원",80000,120000,http://www.namboocc.co.kr,031-280-4100,FIELD
경기 남부,경기 화성,경기도 화성시 송산동 170,남수원체력단련장,회원제,18,한라/백두,"6,191M/6,771YD","33,000원 ~ 165,000원",80000,120000,http://www.welfare.mil.kr,031-229-9300,FIELD
경기 남부,경기 여주,경기도 여주군 여주읍 하거리 산64-1,남여주,퍼블릭,27,마루/누리/가람,"6,461M/7,066YD","65,000원 ~ 125,000원",80000,120000,https://www.namyeoju.co.kr,031-880-6700,FIELD
경기 남부,경기 광주,경기도 광주시 실촌읍 이선리 510,남촌,회원제,18,동/서,"6,525M/7,136YD","22,620원 ~ 260,000원",90000,120000,http://www.namchoncc.co.kr,031-769-0333,FIELD
경기 남부,경기 광주,경기도 광주시 삼동 1,뉴서울,회원제,36,북 OUT/북 IN/남 OUT/남 IN ,"12,720M/13,911YD","65,000원 ~ 230,000원",80000,120000,http://www.newseoulgolf.co.kr,031-762-5672,FIELD
경기 남부,경기 이천,경기도 이천시 모가면 두미리 산 76,뉴스프링빌,회원제,36,록키/알프스/올림프스/몽블랑 ,"12,404M/13,565YD","55,000원 ~ 210,000원",80000,120000,http://www.newspring.co.kr,031-630-7500,FIELD
경기 남부,경기 이천,경기도 이천시 모가면 두미리 산 76,뉴스프링빌,퍼블릭,9,와이트혼,"2,180M/2,384YD","48,000원 ~ 61,000원",-,-,http://www.newspring.co.kr,031-630-7500,FIELD
경기 남부,경기 이천,경기도 이천시 대월면 도리리 66,더반,퍼블릭,9,OUT,"6,010M/6,573YD","100,000원 ~ 160,000원",80000,120000,http://www.theban.co.kr,031-645-6100,FIELD
경기 남부,경기 화성,경기도 화성시 봉담읍 덕리 421,덕산대체력단련장,회원제,9,OUT,"3,010M/3,292YD","13,000원 ~ 85,000원",60000,100000,http://welfare.navy.mil.kr,031-8012-2712,FIELD
경기 남부,경기 여주,경기도 여주시 가남읍 그랜드그린길 107,동여주체력단련장,회원제,18,OUT/IN,"9,444M/10,328YD","33,000원 ~ 145,000원",80000,120000,http://www.welfare.mil.kr,031-887-7000,FIELD
경기 남부,인천 중구,인천광역시 중구 운서동 2508-24,드림듄스,퍼블릭,7,OUT,"1,363M/1,491YD","58,000원 ~ 100,000원",40000,-,http://www.sky72.com,1644-7222,FIELD
경기 남부,인천 서구,인천광역시 서구 거월로 61(백석동 58),드림파크,퍼블릭,36,드림 OUT/드림 IN/파크 OUT/파크 IN ,"13,065M/14,288YD","50,000원 ~ 120,000원",80000,120000,http://www.dreamparkcc.or.kr,032-560-1700,FIELD
경기 남부,경기 화성,경기도 화성시 정남면 보통일 1414-39,라비돌,퍼블릭,9,OUT,"2,521M/2,757YD","53,000원 ~ 68,000원",24000,120000,http://www.laviedorresort.co.kr,031-352-7150,FIELD
경기 남부,경기 용인,경기도 용인시 처인구 모현면 능원리 산5-12,레이크사이드,회원제,54,동 OUT/동 IN/남 OUT/남 IN/서 OUT/서 IN,"19,952 M /21,820 YD","50,000원 ~ 260,000원",80000,120000,http://www.lakeside.kr,031-334-2111,FIELD
경기 남부,경기 안성,경기도 안성시 양성면 산정리 산5-1,레이크힐스 안성,퍼블릭,9,OUT,"3,074M/3,362YD","50,000원 ~ 160,000원",68000,120000,http://lakehills.co.kr,031-674-8366,FIELD
경기 남부,경기 용인,경기도 용인시 처인구 남사면 창리 산 103-3,레이크힐스 용인,회원제,27,루비/사파이어/다이아몬드,"10,602M/11,594YD","42,000원 ~ 260,000원",90000,120000,http://lakehills.co.kr,031-336-8350,FIELD
경기 남부,경기 여주,경기도 여주군 산북면 상품리 산 108,렉스필드,회원제,27,마운틴/밸리/레이크,"9,542M/10,435YD","22,620원 ~ 250,000원",90000,120000,http://www.rexfield.com,031-880-0300,FIELD
경기 남부,경기 화성,경기도 화성시 동탄면 오산리 435-2,리베라,회원제,36,체리힐/파인힐/레이크/밸리 ,,"25,000원 ~ 230,000원",80000,120000,http://www.shinancc.co.kr,031-376-6711,FIELD
경기 남부,경기 화성,경기도 화성시 마도면 고모리 625-2,링크나인,퍼블릭,9,OUT,"2,716M/2,970YD","100,000원 ~ 140,000원",80000,110000,http://www.linknine.co.kr,031-831-0900,FIELD
경기 남부,경기 안성,경기도 안성시 양성면 노곡리 123,마에스트로,회원제,18,레이크/밸리,"6,600M/7,218YD","32,620원 ~ 230,000원",100000,120000,http://www.maestrocc.co.kr,031-909-1001,FIELD
경기 남부,경기 화성,경기도 화성시 팔탄면 화당리 116,발리오스(구 발안),회원제,18,동/서,"6,406M/7,006YD","25,000원 ~ 230,000원",80000,120000,http://baliosgc.com,031-352-5061,FIELD
경기 남부,경기 화성,경기도 화성시 팔탄면 화당리 116,발리오스(구 발안),퍼블릭,9,남,"2,935M/3,210YD","90,000원 ~ 115,000원",80000,120000,http://baliosgc.com,031-352-5061,FIELD
경기 남부,인천 서구,인천광역시 서구 경서동 836-90,베어즈베스트,퍼블릭,27,오스트랄아시아/유럽/미국,"9,525M/1,0417YD","210,000원 ~ 260,000원",90000,120000,https://www.bearsbestcheongnagc.com,032-560-2000,FIELD
경기 남부,경기 광주,경기도 광주시 실촌읍 오향리 156-1,블루버드,회원제,18,파인힐/오크힐,"6,335M/6,928YD","55,000원 ~ 240,000원",90000,120000,https://www.bluebirdcc.co.kr,031-762-0888,FIELD
경기 남부,경기 용인,경기도 용인시 처인구 원삼면 산38,블루원용인(구 태영),회원제,18,서/중,"9,350M/10,225YD","60,000원 ~ 230,000원",80000,120000,http://www.blueone.com/golf/yongin,031-330-9700,FIELD
경기 남부,경기 용인,경기도 용인시 처인구 원삼면 산38,블루원용인(구 태영),퍼블릭,9,동,"9,350M/10,225YD","130,000원 ~ 160,000원",80000,120000,http://www.blueone.com/golf/yongin,031-330-9700,FIELD
경기 남부,경기 여주,경기도 여주군 대신면 상구리 11-1,블루헤런,회원제,18,동/서,"6,332M/6,925YD","55,000원 ~ 195,000원",80000,120000,http://www.blueheron.co.kr,031-880-0700,FIELD
경기 남부,경기 이천,경기도 이천시 진상미로 1700-29,비승대 체력단련장,회원제,9,OUT,"4,979M/5,445YD","13,000원 ~ 80,000원",-,-,https://www.armywelfaregolf.mil.kr,031-644-5582,FIELD
경기 남부,경기 이천,경기도 이천시 모가면 어농리 산86,비에이비스타,회원제,63,몬티/벨라/보나/비스타/라고,"13,326M/14,573YD","45,120원 ~ 242,500원",90000,120000,https://www.bavista.co.kr,031-636-3577,FIELD
경기 남부,경기 여주,경기도 여주군 가남면 송림리 214번지,빅토리아,퍼블릭,9,OUT,"3,006 M /3,287 YD","100,000원 ~ 140,000원",80000,120000,,1688-8400,FIELD
경기 남부,경기 용인,경기도 용인시 처인구 성산로 57,선봉대 체력단련장,회원제,9,OUT,"2,827M/3,092YD","13,000원 ~ 83,000원",48000,-,https://www.armywelfaregolf.mil.kr,031-331-6734,FIELD
경기 남부,경기 여주,경기도 여주군 여주읍 오금리 422-3,세라지오,회원제,18,세라/지오,"6,741M/7,372YD","22,620원 ~ 230,000원",80000,120000,http://www.ceragio.com,031-887-8700,FIELD
경기 남부,경기 여주,경기도 여주군 점동면 현수리 산13,소피아그린,퍼블릭,27,마운틴/레이크/밸리,"9,581M/10,478YD","90,000원 ~ 190,000원",80000,120000,https://www.sophiagreen.co.kr,031-887-8100,FIELD
경기 남부,경기 여주,경기도 여주군 가남면 양귀리 산69,솔모로,회원제,36,메이플/체리/파인/퍼시먼,"12,666M/13,852YD","70,000원 ~ 220,000원",80000,120000,http://www.solmoro.com,031-884-7000,FIELD
경기 남부,경기 시흥,경기도 시흥시 마유로 987,솔트베이,퍼블릭,18,OUT/IN,"6,520M/7,130YD","120,000원 ~ 240,000원",80000,120000,http://www.saltbay.co.kr,031-400-0000,FIELD
경기 남부,인천 연수,인천광역시 연수구 동춘동 844-1,송도,퍼블릭,8,OUT,"1,528M/1,671YD","30,000원 ~ 45,000원",42000,32000,http://www.songdogolf.co.kr,032-833-0500,FIELD
경기 남부,경기 용인,경기도 용인시 기흥구 구갈동 313,수원,회원제,36,NEW OUT/NEW IN/OLD OUT/OLD IN ,"12,956M/14,169YD","70,000원 ~ 240,000원",80000,120000,http://www.suwoncc.co.kr,031-281-6611,FIELD
경기 남부,경기 수원,경기도 수원시 권선구 경수대로168번길 77,수원 체력단련장,회원제,9,OUT,"6,248M/6,833YD","9,000원 ~ 108,000원",40000,-,http://www.airforce.mil.kr,031-220-4595,FIELD
경기 남부,경기 여주,경기도 여주군 북내면 운촌리 산40,스카이밸리,회원제,36,스카이/밸리/레이크/마운틴 ,"12,556M/13,731YD","22,620원 ~ 220,000원",80000,120000,http://www.skyvalley.co.kr,031-880-0011,FIELD
경기 남부,경기 여주,경기도 여주군 북내면 덕산리 산3-1,신라,퍼블릭,27,서/남/동,"9,560M/10,455YD","70,000원 ~ 200,000원",80000,120000,http://www.shillacc.com,031-886-3030,FIELD
경기 남부,경기 안성,경기도 안성시 고삼면 가유리 787,신안,회원제,18,애플/토마토,"3,882M/4,245YD","25,000원 ~ 230,000원",80000,120000,http://www.shinancc.co.kr,031-673-8853,FIELD
경기 남부,경기 안성,경기도 안성시 고삼면 가유리 787,신안,퍼블릭,9,오렌지,"3,882M/4,245YD","170,000원 ~ 210,000원",80000,120000,http://www.shinancc.co.kr,031-673-8853,FIELD
경기 남부,경기 용인,경기도 용인시 처인구 이동면 묵리 49-1,신원,회원제,27,에벤에셀/솔로몬/데이비드,"9.467M/10,354YD","24,000원 ~ 240,000원",80000,120000,http://www.swcc.co.kr,031-322-8400,FIELD
경기 남부,경기 이천,경기도 이천시 율면 임오산로 200번길 56-222,실크밸리,퍼블릭,27,밸리/레이크/실크,"9,870M/10,794YD","135,000원 ~ 195,000원",80000,120000,http://silkvalleygc.co.kr,031-639-0077,FIELD
경기 남부,경기 용인,경기도 용인시 처인구 백암면 고안리 633-4,써닝포인트,퍼블릭,18,포인트/썬,"6,593M/7,210YD","90,000원 ~ 220,000원",80000,120000,https://www.sunningpoint.com,031-329-0800,FIELD
경기 남부,경기 여주,경기도 여주군 가남면 양귀리 217-1,아리지,퍼블릭,27,해님/달님/별님,"9,437M/10,320YD","120,000원 ~ 190,000원",80000,120000,https://www.ariji.co.kr,031-887-5678,FIELD
경기 남부,경기 시흥,경기도 시흥시 월곶동 330-6,아세코밸리,퍼블릭,9,OUT,"2,658M/2,907YD","120,000원 ~ 140,000원",80000,120000,http://www.asecovalley.com,031-319-5566,FIELD
경기 남부,경기 용인,경기도 용인시 처인구 양지면 대대리 산 281-1,아시아나,회원제,36,동 OUT/동 IN/서 OUT/서 IN ,"12,449M/13,615YD","70,000원 ~ 250,000원",90000,120000,http://www.asianacc.co.kr,031-330-1103,FIELD
경기 남부,경기 안산,경기도 안산시 단원구 대부남동 1111,아일랜드,회원제,18,South/West,"6,721M/7,350YD","50,000원 ~ 250,000원",80000,120000,http://www.islandresort.co.kr,032-885-1004,FIELD
경기 남부,경기 안산,경기도 안산시 단원구 대부남동 1111,아일랜드,퍼블릭,9,East,"3,077M/3,365YD","50,000원 ~ 250,000원",80000,120000,http://www.islandresort.co.kr,032-885-1004,FIELD
경기 남부,경기 안성,경기도 안성시 금광면 삼흥리 산1,안성베네스트,회원제,27,북/서/남,"9,468M/10,350YD","65,000원 ~ 230,000원",80000,120000,http://www.golfsamsung.com,031-670-0700,FIELD
경기 남부,경기 안성,경기도 안성시 금광면 삼흥리 산1,안성베네스트,퍼블릭,9,동,"2,911M/3,185YD","55,000원 ~ 220,000원",80000,120000,http://www.golfsamsung.com,031-670-0700,FIELD
경기 남부,경기 군포,경기도 군포시 부곡동 1,안양베네스트,회원제,18,OUT/IN,"6,441M/7,044YD","78,000원 ~ 260,000원",80000,120000,http://www.golfsamsung.com,031-460-3301,FIELD
경기 남부,경기 용인,경기도 용인시 처인구 양지면 남곡리 34-1,양지파인,회원제,27,동/남/서,"9,377M/10,255YD","64,000원 ~ 209,000원",80000,120000,http://www.pineresort.com,031-329-9500,FIELD
경기 남부,경기 안성,경기도 안성시 죽산면 장롱이리 산65,에덴블루,회원제,27,마운틴/레이크/밸리,"9,320M/10,192YD","25,000원 ~ 210,000원",80000,120000,https://www.edenblue.co.kr,031-678-7000,FIELD
경기 남부,경기 여주,경기도 여주군 여주읍 월송리 35-10,여주,회원제,27,에이스/드림/챌린지,"9,444M/10,328YD","80,000원 ~ 210,000원",80000,120000,http://www.yeojoocc.co.kr,031-880-0123,FIELD
