type,position,title,label0,score0,label1,score1,label2,score2,label3,score3,label4,score4
FIELD,0,페어웨이 관리상태,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,0,러프 관리상태,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,0,그린 관리상태,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,0,벙커 관리상태,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,0,티잉그라운드 관리상태,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,0,골프장 조경,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,0,그린 빠르기,매우 빠름,5,빠름,4,보통,3,느림,2,매우 느림,1
FIELD,0,코스난이도(홀배치 적절성),매우 도전적,5,재미있음,4,적절함,3,단조로움,2,매우 단조로움,1
FIELD,0,코스디자인,아름다움,5,일부 인상적,4,평범함,3,단조로움,2,어거지,1
FIELD,0,코스 전장/넓이,매우 편안한 플레이,5,넓고 적당함,4,평범함,3,짧고 좁음,2,옆홀 공 넘어옴,1
FIELD,0,클럽 사용 다양성 (샷밸류),모든 클럽 사용,5,12개 이상,4,10개 이상,3,8개 이상,2,6개 이하,1
FIELD,0,인조매트 사용여부,전 홀 미사용,5,일부 홀 사용,3,전 홀 사용,1,,,,
FIELD,1,진행속도,앞뒤팀 안보임,5,여유로움,4,보통 수준,3,가끔 재촉함,2,엄청 몰아댐,1
FIELD,1,티오프 간격,9분 이상,5,8분,4,7분,3,6분,2,6분 미만,1
FIELD,1,Par3 사인 플레이,없다,5,복불복,3,Par3 홀마다 있음,1,,,,
FIELD,2,코스/거리/라이 능숙도,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,2,진행 리드,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,2,친절도,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,2,비품 준비성,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,2,외국어가능 캐디,있다,5,모름,3,없다,1,,,,
FIELD,3,클럽하우스 관리상태,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,3,그늘집 관리상태,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,3,라커룸 관리상태,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,3,목욕탕/화장실 관리상태,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,3,카트 관리상태,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,3,목욕비품 비치상태,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,3,식당 만족도(메뉴/청결),매우 우수,5,우수,4,보통/미이용,3,미흡,2,매우미흡,1
FIELD,3,프로샵 제품구비 상태,매우 우수,5,우수,4,보통/미이용,3,미흡,2,매우미흡,1
FIELD,3,ATM기기 설치여부,2대 이상,5,1대/미이용,3,없음,1,,,,
FIELD,3,"드라이빙레인지 유무
(시뮬레이터 포함)",있음,5,없음,1,,,,,,
FIELD,4,가격 대비 만족도,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,4,직원 친절도,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,4,접근성 (거리/교통체증),매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
FIELD,4,예약 편의성,인터넷/전화/모바일예약,5,인터넷/전화예약,3,전화예약만,1,,,,
FIELD,4,재방문 의사,꼭 다시 와볼것,5,괜찮았음,4,한번더 평가,3,고민될듯,2,절대 다시 안옴,1
CLUB,0,비거리,5%이상 증가,5,0~5% 증가,4,기존과 동일,3,0~5% 감소,2,5% 이상 감소,1
CLUB,0,방향성,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
CLUB,0,조작성,매우 쉬움,5,쉬움,4,보통,3,어려움,2,매우 어려움,1
CLUB,0,관용성,매우 우수,5,우수,4,보통,3,별로,2,매우 별로,1
CLUB,1,타구감,매우 우수,5,우수,4,보통,3,별로,2,매우 별로,1
CLUB,1,타구음,매우 우수,5,우수,4,보통,3,별로,2,매우 별로,1
CLUB,1,그립감,매우 우수,5,우수,4,보통,3,별로,2,매우 별로,1
CLUB,1,헤드무게감,매우 우수,5,우수,4,보통,3,별로,2,매우 별로,1
CLUB,1,어드레스시 안정감,매우 우수,5,우수,4,보통,3,별로,2,매우 별로,1
CLUB,2,헤드디자인,매우 우수,5,우수,4,보통,3,별로,2,매우 별로,1
CLUB,2,헤드커버디자인,매우 우수,5,우수,4,보통,3,별로,2,매우 별로,1
CLUB,3,브랜드 디자인,매우 우수,5,우수,4,보통,3,별로,2,매우 별로,1
CLUB,3,A/S 편의성,매우 우수,5,우수,4,보통,3,별로,2,매우 별로,1
CLUB,4,추천 의사,강추,5,추천,4,보통,3,별로,2,완전 비추,1
CLUB,4,가격대비 만족도,매우 높음,5,높음,4,보통,3,낮음,2,매우 낮음,1
BALL,0,타구감,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
BALL,1,스핀량,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
BALL,2,디자인,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
BALL,3,브랜드이미지,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1
BALL,4,가격대비 만족도,매우 우수,5,우수,4,보통,3,미흡,2,매우 미흡,1